Date,Year,Category,Lower,Mid,Upper,CPI_Growth,YoY_Inflation,Forecast_Error,Forecast_Accuracy,Category_Contribution,Season,Seasonal_Contribution
2003-09-01 00:00:00,2003,All food,3.8,0.5,2.1,-70.5882352941176,-28.5714285714286,3.3,-560,-0.806451612903226,Fall,-1.22850122850123
2003-10-01 00:00:00,2003,All food,2.2,1.9,2.1,280,171.428571428571,0.3,84.2105263157895,-12.751677852349,Fall,-4.66830466830467
2003-10-01 00:00:00,2003,All food,3.7,1.2,2.6,-36.8421052631579,9.09090909090908,2.5,-108.333333333333,-8.05369127516778,Fall,-2.94840294840295
2003-11-01 00:00:00,2003,All food,2.2,2,2.1,66.6666666666667,66.6666666666667,0.2,90,5.52486187845304,Fall,-4.91400491400491
2003-11-01 00:00:00,2003,All food,4.1,1.4,2.8,-30,27.2727272727273,2.7,-92.8571428571429,3.86740331491713,Fall,-3.43980343980344
2003-12-01 00:00:00,2003,All food,4.2,2.1,3.3,50,75,2.1,0,12.6506024096386,Winter,-2.12335692618807
2004-01-01 00:00:00,2004,All food,4.5,2.1,3.2,0,40,2.4,-14.2857142857143,16.6666666666667,Winter,-13.5483870967742
2004-02-01 00:00:00,2004,All food,4.3,2.2,3.2,4.76190476190477,46.6666666666667,2.1,4.54545454545458,15.0684931506849,Winter,-14.1935483870968
2004-03-01 00:00:00,2004,All food,4.2,2.3,3.2,4.54545454545452,2200,1.9,17.3913043478261,9.66386554621849,Spring,2.20941402497598
2004-04-01 00:00:00,2004,All food,4,2.4,3.1,4.34782608695652,41.1764705882353,1.6,33.3333333333333,8.48056537102474,Spring,2.30547550432277
2004-05-01 00:00:00,2004,All food,3.8,2.9,3.5,20.8333333333333,625,0.9,68.9655172413793,5.57692307692308,Spring,2.78578290105668
2004-06-01 00:00:00,2004,All food,4.1,3,3.5,3.44827586206897,76.4705882352941,1.1,63.3333333333334,5.39568345323741,Summer,-32.967032967033
2004-07-01 00:00:00,2004,All food,4,3.1,3.5,3.33333333333334,520,0.9,70.9677419354839,-8.13648293963255,Summer,-34.0659340659341
2004-07-01 00:00:00,2004,All food,3.9,0.4,2.1,-87.0967741935484,-78.9473684210526,3.5,-775,-1.0498687664042,Summer,-4.3956043956044
2004-08-01 00:00:00,2004,All food,3.9,3.1,3.4,675,158.333333333333,0.8,74.1935483870968,-11.6541353383459,Summer,-34.0659340659341
2004-08-01 00:00:00,2004,All food,3.9,0.4,2.1,-87.0967741935484,-80,3.5,-775,-1.50375939849624,Summer,-4.3956043956044
2004-09-01 00:00:00,2004,All food,3.7,3.1,3.3,675,121.428571428571,0.6,80.6451612903226,-14.027149321267,Fall,119.23076923077
2004-09-01 00:00:00,2004,All food,3.7,0.4,1.9,-87.0967741935484,-80.952380952381,3.3,-725,-1.80995475113122,Fall,15.3846153846154
2004-10-01 00:00:00,2004,All food,3.6,3.3,3.5,725,57.1428571428571,0.3,90.9090909090909,113.793103448276,Fall,126.923076923077
2004-10-01 00:00:00,2004,All food,3.5,1,2.5,-69.6969696969697,-54.5454545454545,2.5,-150,34.4827586206897,Fall,38.4615384615386
2004-11-01 00:00:00,2004,All food,3.6,3.4,3.4,240,47.8260869565218,0.2,94.1176470588235,15.5963302752294,Fall,130.769230769231
2004-11-01 00:00:00,2004,All food,3.9,1.1,2.4,-67.6470588235294,-54.1666666666667,2.8,-154.545454545455,5.04587155963303,Fall,42.3076923076924
2004-12-01 00:00:00,2004,All food,3.8,1.4,2.6,27.2727272727273,-51.7241379310345,2.4,-71.4285714285714,-3.27868852459016,Winter,-9.03225806451613
2005-01-01 00:00:00,2005,All food,3.8,1.7,2.7,21.4285714285714,-43.3333333333333,2.1,-23.5294117647059,-4.77528089887641,Winter,-1.5017667844523
2005-02-01 00:00:00,2005,All food,3.8,1.4,2.4,-17.6470588235294,-54.8387096774194,2.4,-71.4285714285714,-4.29447852760736,Winter,-1.23674911660777
2005-03-01 00:00:00,2005,All food,3.3,1.5,2.3,7.14285714285714,275,1.8,-20,-4.85436893203884,Spring,-3.14465408805032
2005-04-01 00:00:00,2005,All food,3.2,2,2.6,33.3333333333333,-35.4838709677419,1.2,40,-13.7931034482759,Spring,-4.19287211740042
2005-05-01 00:00:00,2005,All food,3.3,2.1,2.6,5,425,1.2,42.8571428571429,-91.3043478260868,Spring,-4.40251572327044
2005-06-01 00:00:00,2005,All food,3.2,2,2.4,-4.76190476190477,-35.4838709677419,1.2,40,-29.8507462686567,Summer,-1.13507377979569
2005-07-01 00:00:00,2005,All food,2.9,2.1,2.5,5,425,0.8,61.9047619047619,-2.27272727272727,Summer,-1.19182746878547
2005-07-01 00:00:00,2005,All food,3.7,0.2,1.9,-90.4761904761905,-93.9393939393939,3.5,-1650,-0.216450216450216,Summer,-0.113507377979569
2005-08-01 00:00:00,2005,All food,2.8,2.1,2.4,950,110,0.7,66.6666666666667,-2.72373540856031,Summer,-1.19182746878547
2005-08-01 00:00:00,2005,All food,3.6,0.3,1.9,-85.7142857142857,-91.1764705882353,3.3,-1000,-0.389105058365759,Summer,-0.170261066969353
2005-09-01 00:00:00,2005,All food,2.7,2.2,2.4,633.333333333333,100,0.5,77.2727272727273,-3.54838709677419,Fall,-1.60818713450292
2005-09-01 00:00:00,2005,All food,3.5,0.5,2,-77.2727272727273,-64.2857142857143,3,-500,-0.806451612903226,Fall,-0.365497076023392
2005-10-01 00:00:00,2005,All food,2.6,2.3,2.4,360,35.2941176470588,0.3,86.9565217391304,-5.15695067264574,Fall,-1.6812865497076
2005-10-01 00:00:00,2005,All food,3.5,1,2.3,-56.5217391304348,-28.5714285714286,2.5,-150,-2.24215246636771,Fall,-0.730994152046784
2005-11-01 00:00:00,2005,All food,2.6,2.3,2.4,130,53.3333333333333,0.3,86.9565217391304,-7.6158940397351,Fall,-1.6812865497076
2005-11-01 00:00:00,2005,All food,3.7,1,2.3,-56.5217391304348,-50,2.7,-170,-3.3112582781457,Fall,-0.730994152046784
2005-12-01 00:00:00,2005,All food,3.6,1.4,2.5,40,-33.3333333333333,2.2,-57.1428571428572,-3.11111111111111,Winter,-1.23674911660777
2006-01-01 00:00:00,2006,All food,3.7,1.9,3,35.7142857142857,-5,1.8,5.26315789473683,-9.26829268292683,Winter,-2.02127659574468
2006-02-01 00:00:00,2006,All food,4,1.8,2.7,-5.26315789473684,-14.2857142857143,2.2,-22.2222222222222,-8.41121495327103,Winter,-1.91489361702128
2006-03-01 00:00:00,2006,All food,3.6,1.7,2.5,-5.55555555555556,750,1.9,-11.7647058823529,-12.2302158273381,Spring,-4.6831955922865
2006-04-01 00:00:00,2006,All food,3.3,1.6,2.2,-5.88235294117646,-23.8095238095238,1.7,-6.24999999999998,-11.5942028985507,Spring,-4.40771349862259
2006-05-01 00:00:00,2006,All food,2.9,1.7,2.3,6.25,466.666666666667,1.2,29.4117647058824,-19.7674418604651,Spring,-4.6831955922865
2006-06-01 00:00:00,2006,All food,2.8,1.8,2.2,5.88235294117647,-18.1818181818182,1,44.4444444444445,69.2307692307692,Summer,-1.07206670637284
2006-07-01 00:00:00,2006,All food,2.7,1.9,2.3,5.55555555555556,280,0.8,57.8947368421053,-1.91919191919192,Summer,-1.131625967838
2006-07-01 00:00:00,2006,All food,3.6,0.3,1.9,-84.2105263157895,-86.9565217391304,3.3,-1000,-0.303030303030303,Summer,-0.178677784395474
2006-08-01 00:00:00,2006,All food,2.6,2,2.3,566.666666666667,100,0.6,70,-2.7972027972028,Summer,-1.19118522930316
2006-08-01 00:00:00,2006,All food,3.5,0.5,2,-75,-78.2608695652174,3,-500,-0.699300699300699,Summer,-0.297796307325789
2006-09-01 00:00:00,2006,All food,2.6,2.1,2.3,320,110,0.5,76.1904761904762,-4.24242424242424,Fall,-2.18522372528616
2006-09-01 00:00:00,2006,All food,3.5,0.7,2.1,-66.6666666666667,-50,2.8,-300,-1.41414141414141,Fall,-0.72840790842872
2006-10-01 00:00:00,2006,All food,2.6,2.3,2.4,228.571428571429,21.0526315789474,0.3,86.9565217391304,-8.07017543859649,Fall,-2.39334027055151
2006-10-01 00:00:00,2006,All food,3.6,1.2,2.6,-47.8260869565217,-33.3333333333333,2.4,-100,-4.21052631578947,Fall,-1.24869927159209
2006-11-01 00:00:00,2006,All food,2.6,2.3,2.3,91.6666666666667,35.2941176470588,0.3,86.9565217391304,-12.707182320442,Fall,-2.39334027055151
2006-11-01 00:00:00,2006,All food,3.9,1,2.3,-56.5217391304348,-37.5,2.9,-190,-5.52486187845304,Fall,-1.04058272632674
2006-12-01 00:00:00,2006,All food,3.5,1.3,2.3,30,-23.5294117647059,2.2,-69.2307692307692,-2.49520153550864,Winter,-1.38297872340426
2007-01-01 00:00:00,2007,All food,3.3,2,3,53.8461538461538,11.1111111111111,1.3,35,-12.5786163522013,Winter,-8.62068965517242
2007-02-01 00:00:00,2007,All food,3.9,2.5,3.4,25,31.5789473684211,1.4,44,24.5098039215686,Winter,-10.7758620689655
2007-03-01 00:00:00,2007,All food,4.3,2.7,3.4,8.00000000000001,800,1.6,40.7407407407408,11.1111111111111,Spring,2.65225933202358
2007-04-01 00:00:00,2007,All food,4.2,2.8,3.4,3.7037037037037,40,1.4,50,9.21052631578947,Spring,2.75049115913556
2007-05-01 00:00:00,2007,All food,4,3.1,3.6,10.7142857142857,520,0.9,70.9677419354839,6.58174097664544,Spring,3.04518664047151
2007-06-01 00:00:00,2007,All food,4.1,3.2,3.7,3.2258064516129,52.3809523809524,0.9,71.875,5.72450805008945,Summer,32
2007-07-01 00:00:00,2007,All food,4.1,3.4,3.7,6.25,385.714285714286,0.7,79.4117647058824,-12.5,Summer,34
2007-07-01 00:00:00,2007,All food,3.8,0.8,2.3,-76.4705882352941,-65.2173913043478,3,-275,-2.94117647058824,Summer,8
2007-08-01 00:00:00,2007,All food,4.1,3.5,3.8,337.5,191.666666666667,0.6,82.8571428571429,-18.716577540107,Summer,35
2007-08-01 00:00:00,2007,All food,3.9,1.1,2.5,-68.5714285714286,-52.1739130434783,2.8,-154.545454545455,-5.88235294117647,Summer,11
2007-09-01 00:00:00,2007,All food,4.1,3.7,3.9,236.363636363636,270,0.4,89.1891891891892,66.0714285714285,Fall,3.60272638753651
2007-09-01 00:00:00,2007,All food,4,1.4,2.8,-62.1621621621622,7.69230769230769,2.6,-85.7142857142857,25,Fall,1.36319376825706
2007-10-01 00:00:00,2007,All food,4.1,3.8,4,171.428571428571,90,0.3,92.1052631578947,9.87012987012987,Fall,3.70009737098345
2007-10-01 00:00:00,2007,All food,4.2,1.8,3.1,-52.6315789473684,-28,2.4,-33.3333333333334,4.67532467532468,Fall,1.75267770204479
2007-11-01 00:00:00,2007,All food,4.1,3.9,4,116.666666666667,44.4444444444444,0.2,94.8717948717949,6.65529010238908,Fall,3.79746835443038
2007-11-01 00:00:00,2007,All food,4.4,2,3.2,-48.7179487179487,-28.5714285714286,2.4,-20,3.41296928327645,Fall,1.94741966893866
2007-12-01 00:00:00,2007,All food,4.4,2.3,3.3,15,-25.8064516129032,2.1,8.69565217391302,-13.1428571428571,Winter,-9.91379310344827
2008-01-01 00:00:00,2008,All food,4.4,3.1,4.1,34.7826086956522,-3.125,1.3,58.0645161290323,23.134328358209,Winter,18.1286549707602
2008-02-01 00:00:00,2008,All food,5.1,3.2,4.1,3.2258064516129,-5.88235294117646,1.9,40.625,14.7465437788018,Winter,18.7134502923977
2008-03-01 00:00:00,2008,All food,5,3.3,4,3.12499999999998,312.5,1.7,48.4848484848485,11.660777385159,Spring,2.42112986060161
2008-04-01 00:00:00,2008,All food,4.8,4,4.7,21.2121212121212,14.2857142857143,0.8,80,8.19672131147541,Spring,2.93470286133529
2008-05-01 00:00:00,2008,All food,5.4,4.3,4.9,7.5,290.909090909091,1.1,74.4186046511628,7.26351351351351,Spring,3.15480557593544
2008-06-01 00:00:00,2008,All food,5.5,4.6,5.1,6.9767441860465,24.3243243243243,0.9,80.4347826086956,6.28415300546448,Summer,2.875
2008-07-01 00:00:00,2008,All food,5.6,5.1,5.5,10.8695652173913,264.285714285714,0.5,90.1960784313726,17.8947368421053,Summer,3.1875
2008-07-01 00:00:00,2008,All food,5.7,2,4.4,-60.7843137254902,-47.3684210526316,3.7,-85,7.01754385964912,Summer,1.25
2008-08-01 00:00:00,2008,All food,5.9,5.2,5.6,160,188.888888888889,0.7,86.5384615384616,8.91938250428816,Summer,3.25
2008-08-01 00:00:00,2008,All food,6.8,2.6,4.8,-50,-33.3333333333333,4.2,-61.5384615384615,4.45969125214408,Summer,1.625
2008-09-01 00:00:00,2008,All food,5.9,5.5,5.7,111.538461538462,175,0.4,92.7272727272727,6.5554231227652,Fall,1.9077349982657
2008-09-01 00:00:00,2008,All food,7,3.7,5.8,-32.7272727272727,60.8695652173913,3.3,10.8108108108108,4.41001191895113,Fall,1.28338536246965
2008-10-01 00:00:00,2008,All food,5.9,5.5,5.6,48.6486486486486,77.4193548387097,0.4,92.7272727272727,5.36062378167641,Fall,1.9077349982657
2008-10-01 00:00:00,2008,All food,8.1,4.2,6.1,-23.6363636363636,31.25,3.9,7.14285714285716,4.09356725146199,Fall,1.45681581685744
2008-11-01 00:00:00,2008,All food,5.8,5.5,5.5,30.952380952381,66.6666666666667,0.3,94.5454545454546,5.40275049115914,Fall,1.9077349982657
2008-11-01 00:00:00,2008,All food,8.1,3.3,5,-40,-17.5,4.8,-45.4545454545455,3.24165029469548,Fall,1.14464099895942
2008-12-01 00:00:00,2008,All food,6.7,3.4,4.8,3.03030303030303,-20.9302325581395,3.3,2.94117647058823,-18.8888888888889,Winter,19.8830409356725
2009-01-01 00:00:00,2009,All food,6.2,3.5,4.8,2.94117647058825,-23.9130434782609,2.7,22.8571428571429,-97.2222222222222,Winter,-2.96610169491525
2009-02-01 00:00:00,2009,All food,6,3,4,-14.2857142857143,-41.1764705882353,3,0,-24.1935483870968,Winter,-2.54237288135593
2009-03-01 00:00:00,2009,All food,5.1,2.4,3.3,-20,20,2.7,-12.5,-10.8597285067873,Spring,-3.00751879699248
2009-04-01 00:00:00,2009,All food,4.2,2.1,2.7,-12.5,-59.6153846153846,2.1,0,-8.17120622568093,Spring,-2.63157894736842
2009-05-01 00:00:00,2009,All food,3.4,1.9,2.4,-9.52380952380953,-26.9230769230769,1.5,21.0526315789474,-5.9375,Spring,-2.38095238095238
2009-06-01 00:00:00,2009,All food,3,1.8,2.3,-5.26315789473684,-67.2727272727273,1.2,33.3333333333333,-6,Summer,-0.501392757660167
2009-07-01 00:00:00,2009,All food,2.8,1.7,2.1,-5.55555555555556,-54.0540540540541,1.1,35.2941176470588,-0.959367945823928,Summer,-0.473537604456825
2009-07-01 00:00:00,2009,All food,3.5,-0.1,1.5,-105.882352941177,-101.818181818182,3.6,3700,0.0564334085778781,Summer,0.0278551532033426
2009-08-01 00:00:00,2009,All food,2.4,1.6,1.9,-1700,-61.9047619047619,0.8,50,-1.05401844532279,Summer,-0.445682451253482
2009-08-01 00:00:00,2009,All food,3.2,-1,1.2,-162.5,-118.181818181818,4.2,520,0.658761528326746,Summer,0.278551532033426
2009-09-01 00:00:00,2009,All food,2.2,1.6,1.8,-260,-51.5151515151515,0.6,62.5,-1.05193951347798,Fall,-0.381861575178998
2009-09-01 00:00:00,2009,All food,3.3,-1.1,0.9,-168.75,-132.352941176471,4.4,500,0.723208415516108,Fall,0.262529832935561
2009-10-01 00:00:00,2009,All food,2,1.7,1.8,-254.545454545455,-51.4285714285714,0.3,82.3529411764706,-1.22038765254846,Fall,-0.405727923627685
2009-10-01 00:00:00,2009,All food,3,-0.5,1.3,-129.411764705882,-116.666666666667,3.5,800,0.358937544867193,Fall,0.119331742243437
2009-11-01 00:00:00,2009,All food,2,1.7,1.8,-440,-29.1666666666667,0.3,82.3529411764706,-1.33228840125392,Fall,-0.405727923627685
2009-11-01 00:00:00,2009,All food,3.1,-0.8,0.8,-147.058823529412,-138.095238095238,3.9,587.5,0.626959247648903,Fall,0.190930787589499
2009-12-01 00:00:00,2009,All food,2.6,-0.7,0.8,-12.5,-136.842105263158,3.3,571.428571428571,0.686274509803922,Winter,0.593220338983051
2010-01-01 00:00:00,2010,All food,2.4,0.6,1.6,-185.714285714286,-66.6666666666667,1.8,-200,-2.7027027027027,Winter,-0.615384615384615
2010-02-01 00:00:00,2010,All food,2.7,0.5,1.4,-16.6666666666667,-70.5882352941176,2.2,-340,-2.05761316872428,Winter,-0.512820512820513
2010-03-01 00:00:00,2010,All food,2.3,0.5,1.3,0,-600,1.8,-260,-3.81679389312977,Spring,-2.14592274678112
2010-04-01 00:00:00,2010,All food,2.1,0.5,1.2,0,-68.75,1.6,-220,-7.04225352112676,Spring,-2.14592274678112
2010-05-01 00:00:00,2010,All food,1.8,0.5,1.1,0,-150,1.3,-160,-16.1290322580645,Spring,-2.14592274678112
2010-06-01 00:00:00,2010,All food,1.6,0.5,0.9,0,-68.75,1.1,-120,249.999999999997,Summer,-0.26581605528974
2010-07-01 00:00:00,2010,All food,1.4,0.3,0.7,-40,-127.272727272727,1.1,-266.666666666667,-0.260416666666667,Summer,-0.159489633173844
2010-07-01 00:00:00,2010,All food,3.5,-1.1,1.3,-466.666666666667,-164.705882352941,4.6,518.181818181818,0.954861111111111,Summer,0.584795321637427
2010-08-01 00:00:00,2010,All food,1.1,0.4,0.7,-136.363636363636,-180,0.7,-75,-0.547195622435021,Summer,-0.212652844231792
2010-08-01 00:00:00,2010,All food,3.8,-0.8,1.4,-300,-147.058823529412,4.6,675,1.09439124487004,Summer,0.425305688463583
2010-09-01 00:00:00,2010,All food,1,0.6,0.8,-175,-175,0.4,33.3333333333333,-1.30718954248366,Fall,-0.606060606060606
2010-09-01 00:00:00,2010,All food,3.7,-0.3,1.7,-150,-57.1428571428571,4,1433.33333333333,0.65359477124183,Fall,0.303030303030303
2010-10-01 00:00:00,2010,All food,1,0.7,0.8,-333.333333333333,16.6666666666667,0.3,57.1428571428571,-2.20125786163522,Fall,-0.707070707070707
2010-10-01 00:00:00,2010,All food,3.8,0.1,1.9,-85.7142857142857,-80,3.7,-3600,-0.314465408805031,Fall,-0.101010101010101
2010-11-01 00:00:00,2010,All food,0.9,0.7,0.8,600,40,0.2,71.4285714285714,-3.28638497652582,Fall,-0.707070707070707
2010-11-01 00:00:00,2010,All food,3.8,-0.1,1.6,-114.285714285714,-120,3.9,4000,0.469483568075117,Fall,0.101010101010101
2010-12-01 00:00:00,2010,All food,3.4,0.3,1.8,-400,-40,3.1,-933.333333333333,-0.588235294117647,Winter,-0.307692307692308
2011-01-01 00:00:00,2011,All food,3.4,1.6,2.8,433.333333333333,220,1.8,-12.5,-21.3333333333333,Winter,-5.49828178694158
2011-02-01 00:00:00,2011,All food,4,1.9,2.9,18.75,533.333333333333,2.1,-10.5263157894737,32.2033898305085,Winter,-6.52920962199313
2011-03-01 00:00:00,2011,All food,4,2.4,3.4,26.3157894736842,-318.181818181818,1.6,33.3333333333333,6.76056338028169,Spring,1.67949615115465
2011-04-01 00:00:00,2011,All food,4.3,2.6,3.4,8.33333333333335,550,1.7,34.6153846153846,5.70175438596491,Spring,1.81945416375088
2011-05-01 00:00:00,2011,All food,4.2,2.9,3.5,11.5384615384615,-462.5,1.3,55.1724137931034,4.69255663430421,Spring,2.02939118264521
2011-06-01 00:00:00,2011,All food,4.2,3,3.5,3.44827586206897,400,1.2,60,4.47761194029851,Summer,3.14465408805032
2011-07-01 00:00:00,2011,All food,4,3.2,3.6,6.66666666666667,-1166.66666666667,0.8,75,-799.999999999991,Summer,3.35429769392034
2011-07-01 00:00:00,2011,All food,4.4,0.5,2.4,-84.375,-28.5714285714286,3.9,-680,-124.999999999999,Summer,0.524109014675052
2011-08-01 00:00:00,2011,All food,4,3.4,3.7,580,3300,0.6,82.3529411764706,11.8055555555556,Summer,3.56394129979036
2011-08-01 00:00:00,2011,All food,4.4,0.9,2.8,-73.5294117647059,28.5714285714286,3.5,-288.888888888889,3.125,Summer,0.943396226415095
2011-09-01 00:00:00,2011,All food,4.1,3.6,3.8,300,-3700,0.5,86.1111111111111,6.79245283018868,Fall,1.84899845916795
2011-09-01 00:00:00,2011,All food,4.6,1.2,2.9,-66.6666666666667,300,3.4,-183.333333333333,2.26415094339623,Fall,0.61633281972265
2011-10-01 00:00:00,2011,All food,4.1,3.6,3.8,200,125,0.5,86.1111111111111,5.26315789473684,Fall,1.84899845916795
2011-10-01 00:00:00,2011,All food,4.7,1.5,3.1,-58.3333333333333,-21.0526315789474,3.2,-113.333333333333,2.19298245614035,Fall,0.770416024653313
2011-11-01 00:00:00,2011,All food,4,3.6,3.7,140,50,0.4,88.8888888888889,4.91132332878581,Fall,1.84899845916795
2011-11-01 00:00:00,2011,All food,4.7,1.3,2.8,-63.8888888888889,-50,3.4,-161.538461538462,1.77353342428377,Fall,0.667693888032871
2011-12-01 00:00:00,2011,All food,4.3,1.3,2.9,0,-55.1724137931034,3,-130.769230769231,-4.72727272727273,Winter,-4.46735395189003
2012-01-01 00:00:00,2012,All food,4.6,2.1,3.6,61.5384615384615,-30,2.5,-19.047619047619,-38.8888888888889,Winter,-2.99572039942939
2012-02-01 00:00:00,2012,All food,5.1,1.8,3,-14.2857142857143,-43.75,3.3,-83.3333333333333,-16.5137614678899,Winter,-2.56776034236805
2012-03-01 00:00:00,2012,All food,4.3,1.9,2.9,5.55555555555556,280,2.4,-26.3157894736842,237.5,Spring,10.4972375690608
2012-04-01 00:00:00,2012,All food,4,2.1,2.9,10.5263157894737,-38.2352941176471,1.9,9.52380952380953,24.7058823529412,Spring,11.6022099447514
2012-05-01 00:00:00,2012,All food,3.8,2.1,2.7,0,133.333333333333,1.7,19.0476190476191,23.8636363636364,Spring,11.6022099447514
2012-06-01 00:00:00,2012,All food,3.4,2.2,2.7,4.76190476190477,-38.8888888888889,1.2,45.4545454545455,13.8364779874214,Summer,-1.84409052808047
2012-07-01 00:00:00,2012,All food,3.2,2.2,2.6,0,83.3333333333333,1,54.5454545454545,-2.72614622057001,Summer,-1.84409052808047
2012-07-01 00:00:00,2012,All food,4.7,-1.1,1.5,-150,-130.555555555556,5.8,627.272727272727,1.36307311028501,Summer,0.922045264040235
2012-08-01 00:00:00,2012,All food,3,2.3,2.6,-309.090909090909,53.3333333333333,0.7,69.5652173913043,-4.22018348623853,Summer,-1.9279128248114
2012-08-01 00:00:00,2012,All food,4.3,-0.7,1.7,-130.434782608696,-119.444444444444,5,814.285714285714,1.28440366972477,Summer,0.586756077116513
2012-09-01 00:00:00,2012,All food,2.9,2.4,2.6,-442.857142857143,84.6153846153846,0.5,79.1666666666667,-4.66926070038911,Fall,-2.26201696512724
2012-09-01 00:00:00,2012,All food,4.2,-0.7,1.6,-129.166666666667,-153.846153846154,4.9,800,1.36186770428016,Fall,0.659754948162111
2012-10-01 00:00:00,2012,All food,2.8,2.5,2.6,-457.142857142857,19.0476190476191,0.3,88,-8.30564784053156,Fall,-2.35626767200754
2012-10-01 00:00:00,2012,All food,3.9,0.1,2.1,-96,-94.4444444444444,3.8,-3700,-0.332225913621263,Fall,-0.0942507068803016
2012-11-01 00:00:00,2012,All food,2.8,2.5,2.6,2400,31.5789473684211,0.3,88,-10.1626016260163,Fall,-2.35626767200754
2012-11-01 00:00:00,2012,All food,4.1,-0.1,1.7,-104,-104.761904761905,4.2,4300,0.406504065040651,Fall,0.0942507068803016
2012-12-01 00:00:00,2012,All food,3.6,0.4,2,-500,-80.952380952381,3.2,-700,-0.743494423791822,Winter,-0.570613409415121
2013-01-01 00:00:00,2013,All food,3.6,1,2.4,150,-54.5454545454545,2.6,-160,-2.76243093922652,Winter,-0.78003120124805
2013-02-01 00:00:00,2013,All food,3.8,0.8,2,-20,-63.6363636363636,3,-275,-2.75862068965517,Winter,-0.62402496099844
2013-03-01 00:00:00,2013,All food,3.2,0.8,1.8,0,-172.727272727273,2.4,-200,-3.06513409961686,Spring,-1.44665461121157
2013-04-01 00:00:00,2013,All food,2.8,1,1.8,25,-56.5217391304348,1.8,-80,-5.68181818181818,Spring,-1.80831826401447
2013-05-01 00:00:00,2013,All food,2.6,0.9,1.5,-10,-228.571428571429,1.7,-88.8888888888889,-7.75862068965517,Spring,-1.62748643761302
2013-06-01 00:00:00,2013,All food,2.2,1,1.5,11.1111111111111,-58.3333333333333,1.2,-20,-20.4081632653061,Summer,-0.567214974475326
2013-07-01 00:00:00,2013,All food,2.1,1.1,1.5,10,-257.142857142857,1,9.09090909090909,-1.13519091847265,Summer,-0.623936471922859
2013-07-01 00:00:00,2013,All food,4.5,-0.9,1.6,-181.818181818182,-136,5.4,700,0.928792569659443,Summer,0.510493477027794
2013-08-01 00:00:00,2013,All food,1.9,1.2,1.5,-233.333333333333,1100,0.7,41.6666666666667,-1.61073825503356,Summer,-0.680657969370391
2013-08-01 00:00:00,2013,All food,4.2,-0.6,1.7,-150,-124,4.8,900,0.805369127516779,Summer,0.340328984685196
2013-09-01 00:00:00,2013,All food,1.8,1.2,1.4,-300,-1300,0.6,50,-1.7910447761194,Fall,-0.735744941753526
2013-09-01 00:00:00,2013,All food,4.1,-0.6,1.5,-150,-250,4.7,883.333333333333,0.895522388059702,Fall,0.367872470876763
2013-10-01 00:00:00,2013,All food,1.7,1.3,1.4,-316.666666666667,30,0.4,69.2307692307692,-2.7027027027027,Fall,-0.797057020232986
