Date,Year,Category,Lower,Mid,Upper
2002-10-01,2002,Wholesale fats and oils,-8.4,6.0,23.0
2002-10-01,2002,Wholesale pork,-17.3,-3.9,11.7
2002-10-01,2002,Wholesale poultry,-4.1,1.7,7.9
2002-10-01,2002,Wholesale wheat flour,-8.9,7.3,26.0
2002-11-01,2002,Farm-level cattle,-17.3,-2.6,14.7
2002-11-01,2002,Farm-level eggs,-35.3,-1.6,52.0
2002-11-01,2002,Farm-level fruits,-23.1,1.6,34.9
2002-11-01,2002,Farm-level milk,-19.3,0.7,25.2
2002-11-01,2002,Farm-level soybeans,-18.2,5.7,38.1
2002-11-01,2002,Farm-level vegetables,-23.6,-7.3,12.5
2002-11-01,2002,Farm-level wheat,-5.4,24.8,65.2
2002-11-01,2002,Wholesale beef,-14.5,-3.5,9.6
2002-11-01,2002,Wholesale dairy,-10.4,1.5,15.1
2002-11-01,2002,Wholesale fats and oils,-4.2,9.6,25.6
2002-11-01,2002,Wholesale pork,-15.8,-2.8,12.5
2002-11-01,2002,Wholesale poultry,-4.5,1.3,7.4
2002-11-01,2002,Wholesale wheat flour,-8.1,6.9,24.2
2002-12-01,2002,Farm-level cattle,-12.6,1.6,18.2
2002-12-01,2002,Farm-level eggs,-21.9,14.3,68.8
2002-12-01,2002,Farm-level fruits,-26.2,-4.7,22.8
2002-12-01,2002,Farm-level milk,-23.9,-6.8,14.0
2002-12-01,2002,Farm-level soybeans,-14.4,9.1,38.8
2002-12-01,2002,Farm-level vegetables,-22.2,-6.3,13.3
2002-12-01,2002,Farm-level wheat,-14.2,11.1,44.3
2002-12-01,2002,Wholesale beef,-12.6,-2.2,9.7
2002-12-01,2002,Wholesale dairy,-13.4,-3.1,8.7
2002-12-01,2002,Wholesale fats and oils,2.5,15.8,31.4
2002-12-01,2002,Wholesale pork,-14.4,-1.8,12.7
2002-12-01,2002,Wholesale poultry,-4.0,1.7,7.8
2002-12-01,2002,Wholesale wheat flour,-8.4,5.2,20.4
2003-01-01,2003,Farm-level cattle,-10.9,4.5,22.8
2003-01-01,2003,Farm-level eggs,-15.1,21.0,76.0
2003-01-01,2003,Farm-level fruits,-31.4,-12.5,13.2
2003-01-01,2003,Farm-level milk,-20.9,-4.8,14.7
2003-01-01,2003,Farm-level soybeans,-12.7,8.9,36.8
2003-01-01,2003,Farm-level vegetables,-22.9,-6.7,13.6
2003-01-01,2003,Farm-level wheat,-17.5,8.4,43.2
2003-01-01,2003,Wholesale beef,-7.5,2.6,14.0
2003-01-01,2003,Wholesale dairy,-10.0,-0.2,11.0
2003-01-01,2003,Wholesale fats and oils,8.5,21.8,37.1
2003-01-01,2003,Wholesale pork,-13.0,-1.7,11.6
2003-01-01,2003,Wholesale poultry,-4.3,1.4,7.5
2003-01-01,2003,Wholesale wheat flour,-9.8,2.8,17.1
2003-02-01,2003,Farm-level cattle,-0.4,14.9,33.8
2003-02-01,2003,Farm-level eggs,-16.7,13.2,58.2
2003-02-01,2003,Farm-level fruits,-30.6,-13.9,8.2
2003-02-01,2003,Farm-level milk,-17.9,-3.5,14.3
2003-02-01,2003,Farm-level soybeans,-11.8,6.4,30.7
2003-02-01,2003,Farm-level vegetables,-20.0,-4.3,15.2
2003-02-01,2003,Farm-level wheat,-22.8,-1.7,26.0
2003-02-01,2003,Wholesale beef,-1.0,8.4,19.1
2003-02-01,2003,Wholesale dairy,-9.3,-0.9,8.7
2003-02-01,2003,Wholesale fats and oils,12.5,26.3,42.3
2003-02-01,2003,Wholesale pork,-11.0,-0.5,12.0
2003-02-01,2003,Wholesale poultry,-4.7,0.6,6.2
2003-02-01,2003,Wholesale wheat flour,-5.8,5.4,18.2
2003-03-01,2003,Farm-level cattle,0.1,12.6,28.2
2003-03-01,2003,Farm-level eggs,-14.7,11.5,49.4
2003-03-01,2003,Farm-level fruits,-27.5,-12.6,6.9
2003-03-01,2003,Farm-level milk,-18.7,-6.4,8.9
2003-03-01,2003,Farm-level soybeans,-6.2,10.7,32.5
2003-03-01,2003,Farm-level vegetables,-20.7,-6.8,10.8
2003-03-01,2003,Farm-level wheat,-12.6,4.5,26.6
2003-03-01,2003,Wholesale beef,1.4,9.7,19.2
2003-03-01,2003,Wholesale dairy,-9.2,-1.8,6.3
2003-03-01,2003,Wholesale fats and oils,12.9,24.8,38.0
2003-03-01,2003,Wholesale pork,-9.2,0.5,11.3
2003-03-01,2003,Wholesale poultry,-2.3,2.4,7.6
2003-03-01,2003,Wholesale wheat flour,-2.6,7.2,18.5
2003-04-01,2003,Farm-level cattle,0.8,11.7,24.6
2003-04-01,2003,Farm-level eggs,-8.0,15.9,50.8
2003-04-01,2003,Farm-level fruits,-29.4,-17.0,-1.3
2003-04-01,2003,Farm-level milk,-12.1,-2.2,9.3
2003-04-01,2003,Farm-level soybeans,-3.6,10.8,29.3
2003-04-01,2003,Farm-level vegetables,-17.8,-4.3,12.3
2003-04-01,2003,Farm-level wheat,-14.7,-0.7,17.2
2003-04-01,2003,Wholesale beef,2.9,10.2,18.3
2003-04-01,2003,Wholesale dairy,-8.3,-2.2,4.6
2003-04-01,2003,Wholesale fats and oils,10.8,20.4,31.6
2003-04-01,2003,Wholesale pork,-7.5,0.9,10.7
2003-04-01,2003,Wholesale poultry,-2.4,2.1,6.9
2003-04-01,2003,Wholesale wheat flour,-2.3,6.1,15.6
2003-05-01,2003,Farm-level cattle,5.5,15.1,26.5
2003-05-01,2003,Farm-level eggs,-2.5,18.4,47.5
2003-05-01,2003,Farm-level fruits,-27.4,-16.7,-3.2
2003-05-01,2003,Farm-level milk,-9.6,-0.6,9.8
2003-05-01,2003,Farm-level soybeans,4.3,17.6,34.4
2003-05-01,2003,Farm-level vegetables,-14.3,-2.2,13.3
2003-05-01,2003,Farm-level wheat,-14.8,-3.1,11.4
2003-05-01,2003,Wholesale beef,4.4,10.6,17.6
2003-05-01,2003,Wholesale dairy,-6.9,-1.7,4.0
2003-05-01,2003,Wholesale fats and oils,16.1,23.7,32.1
2003-05-01,2003,Wholesale pork,-5.8,1.7,10.5
2003-05-01,2003,Wholesale poultry,-2.5,1.2,5.4
2003-05-01,2003,Wholesale wheat flour,-1.1,6.1,14.4
2003-06-01,2003,Farm-level cattle,7.2,15.1,24.6
2003-06-01,2003,Farm-level eggs,-4.8,11.0,33.2
2003-06-01,2003,Farm-level fruits,-19.7,-9.6,2.8
2003-06-01,2003,Farm-level milk,-9.3,-1.7,7.2
2003-06-01,2003,Farm-level soybeans,9.1,20.7,35.1
2003-06-01,2003,Farm-level vegetables,-12.5,-1.3,12.8
2003-06-01,2003,Farm-level wheat,-8.9,1.5,14.1
2003-06-01,2003,Wholesale beef,6.7,11.9,17.8
2003-06-01,2003,Wholesale dairy,-5.7,-1.4,3.3
2003-06-01,2003,Wholesale fats and oils,17.7,25.0,33.1
2003-06-01,2003,Wholesale pork,-2.9,3.8,11.4
2003-06-01,2003,Wholesale poultry,-1.2,2.1,5.6
2003-06-01,2003,Wholesale wheat flour,1.4,7.4,14.4
2003-07-01,2003,Farm-level cattle,6.8,13.0,20.2
2003-07-01,2003,Farm-level cattle,-23.3,-1.3,26.9
2003-07-01,2003,Farm-level eggs,0.9,14.9,33.6
2003-07-01,2003,Farm-level eggs,-44.2,-4.9,62.1
2003-07-01,2003,Farm-level fruits,-20.1,-12.2,-2.6
2003-07-01,2003,Farm-level fruits,-31.5,-1.7,42.4
2003-07-01,2003,Farm-level milk,-10.5,-4.3,2.8
2003-07-01,2003,Farm-level milk,-6.0,9.7,28.2
2003-07-01,2003,Farm-level soybeans,10.2,19.7,30.9
2003-07-01,2003,Farm-level soybeans,-30.8,-4.2,35.1
2003-07-01,2003,Farm-level vegetables,-12.9,-3.2,9.1
2003-07-01,2003,Farm-level vegetables,-19.9,-1.9,20.3
2003-07-01,2003,Farm-level wheat,-7.8,0.3,10.2
2003-07-01,2003,Farm-level wheat,-31.8,-1.6,41.1
2003-07-01,2003,Wholesale beef,12.1,16.8,22.0
2003-07-01,2003,Wholesale beef,-10.8,5.0,23.4
2003-07-01,2003,Wholesale dairy,-4.7,-1.4,2.3
2003-07-01,2003,Wholesale dairy,-15.1,0.0,18.1
2003-07-01,2003,Wholesale fats and oils,23.4,29.8,36.8
2003-07-01,2003,Wholesale fats and oils,-15.3,3.7,27.2
2003-07-01,2003,Wholesale pork,1.6,7.4,14.1
2003-07-01,2003,Wholesale pork,-16.7,-2.0,15.2
2003-07-01,2003,Wholesale poultry,-0.2,2.6,5.7
2003-07-01,2003,Wholesale poultry,-6.9,-0.4,6.5
2003-07-01,2003,Wholesale wheat flour,2.0,6.9,12.5
2003-07-01,2003,Wholesale wheat flour,-16.1,1.9,23.8
2003-08-01,2003,Farm-level cattle,6.9,11.6,17.0
2003-08-01,2003,Farm-level cattle,-22.7,-1.5,24.4
2003-08-01,2003,Farm-level eggs,7.9,19.8,35.7
2003-08-01,2003,Farm-level eggs,-37.9,3.9,73.0
2003-08-01,2003,Farm-level fruits,-18.9,-12.7,-5.3
2003-08-01,2003,Farm-level fruits,-27.2,2.4,45.1
2003-08-01,2003,Farm-level milk,-5.4,0.0,6.2
2003-08-01,2003,Farm-level milk,-7.1,7.7,24.8
2003-08-01,2003,Farm-level soybeans,9.3,16.3,24.5
2003-08-01,2003,Farm-level soybeans,-24.9,3.5,42.4
2003-08-01,2003,Farm-level vegetables,-12.3,-4.0,6.4
2003-08-01,2003,Farm-level vegetables,-18.8,-0.9,20.7
2003-08-01,2003,Farm-level wheat,-10.7,-4.9,2.1
2003-08-01,2003,Farm-level wheat,-32.1,-3.9,36.4
2003-08-01,2003,Wholesale beef,9.7,13.2,16.9
2003-08-01,2003,Wholesale beef,-15.5,-0.9,16.0
2003-08-01,2003,Wholesale dairy,-1.2,1.5,4.5
2003-08-01,2003,Wholesale dairy,-11.7,3.2,20.5
2003-08-01,2003,Wholesale fats and oils,22.9,27.2,31.7
2003-08-01,2003,Wholesale fats and oils,-14.2,1.8,20.8
2003-08-01,2003,Wholesale pork,2.3,6.8,12.1
2003-08-01,2003,Wholesale pork,-13.8,0.9,18.2
2003-08-01,2003,Wholesale poultry,0.7,2.9,5.4
2003-08-01,2003,Wholesale poultry,-6.3,0.3,7.3
2003-08-01,2003,Wholesale wheat flour,2.1,5.9,10.0
2003-08-01,2003,Wholesale wheat flour,-16.8,-0.4,19.4
2003-09-01,2003,Farm-level cattle,11.0,14.8,19.1
2003-09-01,2003,Farm-level cattle,-19.1,1.3,26.5
2003-09-01,2003,Farm-level eggs,17.9,28.5,42.1
2003-09-01,2003,Farm-level eggs,-28.2,16.4,91.3
2003-09-01,2003,Farm-level fruits,-15.8,-10.9,-5.0
2003-09-01,2003,Farm-level fruits,-25.3,3.7,44.3
2003-09-01,2003,Farm-level milk,-0.5,4.0,9.0
2003-09-01,2003,Farm-level milk,-5.8,8.7,25.9
2003-09-01,2003,Farm-level soybeans,8.7,13.7,19.5
2003-09-01,2003,Farm-level soybeans,-27.1,-1.9,32.8
2003-09-01,2003,Farm-level vegetables,-11.0,-4.0,5.0
2003-09-01,2003,Farm-level vegetables,-18.7,-0.9,20.8
2003-09-01,2003,Farm-level wheat,-5.3,-0.6,5.3
2003-09-01,2003,Farm-level wheat,-27.3,0.8,41.8
2003-09-01,2003,Wholesale beef,12.4,15.2,18.1
2003-09-01,2003,Wholesale beef,-11.2,3.1,19.7
2003-09-01,2003,Wholesale dairy,0.5,2.6,4.7
2003-09-01,2003,Wholesale dairy,-8.4,6.3,23.8
2003-09-01,2003,Wholesale fats and oils,24.0,27.2,30.6
2003-09-01,2003,Wholesale fats and oils,-13.6,1.5,19.0
2003-09-01,2003,Wholesale pork,2.3,5.8,9.8
2003-09-01,2003,Wholesale pork,-15.8,-2.0,14.7
2003-09-01,2003,Wholesale poultry,1.8,3.6,5.5
2003-09-01,2003,Wholesale poultry,-6.3,0.0,6.8
2003-09-01,2003,Wholesale wheat flour,4.1,7.0,10.1
2003-09-01,2003,Wholesale wheat flour,-17.5,-2.1,16.9
2003-10-01,2003,Farm-level cattle,16.5,19.5,22.8
2003-10-01,2003,Farm-level cattle,-11.9,9.7,36.7
2003-10-01,2003,Farm-level eggs,21.1,27.6,35.6
2003-10-01,2003,Farm-level eggs,-20.3,-0.9,23.8
2003-10-01,2003,Farm-level fruits,-14.5,-10.9,-6.7
2003-10-01,2003,Farm-level fruits,-22.6,5.0,42.8
2003-10-01,2003,Farm-level milk,1.9,4.9,8.2
2003-10-01,2003,Farm-level milk,-5.5,9.3,26.2
2003-10-01,2003,Farm-level soybeans,13.0,16.8,21.1
2003-10-01,2003,Farm-level soybeans,-23.1,1.8,36.8
2003-10-01,2003,Farm-level vegetables,-7.5,-1.8,5.7
2003-10-01,2003,Farm-level vegetables,-20.1,-3.3,18.4
2003-10-01,2003,Farm-level wheat,-4.7,-1.4,2.4
2003-10-01,2003,Farm-level wheat,-28.3,-2.3,34.8
2003-10-01,2003,Wholesale beef,14.9,16.8,18.9
2003-10-01,2003,Wholesale beef,-7.4,6.7,22.9
2003-10-01,2003,Wholesale dairy,1.6,2.9,4.3
2003-10-01,2003,Wholesale dairy,-6.6,7.6,24.0
2003-10-01,2003,Wholesale fats and oils,25.4,27.6,30.0
2003-10-01,2003,Wholesale fats and oils,-14.4,-0.5,15.9
2003-10-01,2003,Wholesale pork,3.6,6.1,8.8
2003-10-01,2003,Wholesale pork,-15.0,-1.8,13.5
2003-10-01,2003,Wholesale poultry,2.9,4.2,5.5
2003-10-01,2003,Wholesale poultry,-6.2,0.2,7.0
2003-10-01,2003,Wholesale wheat flour,4.5,6.4,8.5
2003-10-01,2003,Wholesale wheat flour,-14.7,0.7,18.4
2003-11-01,2003,Farm-level cattle,24.2,26.5,29.1
2003-11-01,2003,Farm-level cattle,3.1,29.1,61.8
2003-11-01,2003,Farm-level eggs,27.0,31.6,37.3
2003-11-01,2003,Farm-level eggs,-21.6,-1.7,23.4
2003-11-01,2003,Farm-level fruits,-12.0,-9.6,-6.8
2003-11-01,2003,Farm-level fruits,-18.6,8.5,45.4
2003-11-01,2003,Farm-level milk,2.8,4.4,6.1
2003-11-01,2003,Farm-level milk,-6.4,7.8,24.3
2003-11-01,2003,Farm-level soybeans,19.8,22.6,25.6
2003-11-01,2003,Farm-level soybeans,-11.8,15.1,52.1
2003-11-01,2003,Farm-level vegetables,-6.0,-2.0,3.2
2003-11-01,2003,Farm-level vegetables,-20.4,-3.3,17.6
2003-11-01,2003,Farm-level wheat,-4.1,-2.1,0.1
2003-11-01,2003,Farm-level wheat,-27.1,-2.5,30.8
2003-11-01,2003,Wholesale beef,20.4,21.9,23.5
2003-11-01,2003,Wholesale beef,3.1,18.6,37.7
2003-11-01,2003,Wholesale dairy,2.0,2.8,3.5
2003-11-01,2003,Wholesale dairy,-5.5,7.5,22.5
2003-11-01,2003,Wholesale fats and oils,28.5,30.0,31.5
2003-11-01,2003,Wholesale fats and oils,-7.4,6.7,23.1
2003-11-01,2003,Wholesale pork,5.3,6.9,8.7
2003-11-01,2003,Wholesale pork,-14.1,-1.3,13.8
2003-11-01,2003,Wholesale poultry,3.6,4.4,5.1
2003-11-01,2003,Wholesale poultry,-6.6,-0.4,6.2
2003-11-01,2003,Wholesale wheat flour,4.6,5.7,6.9
2003-11-01,2003,Wholesale wheat flour,-16.6,-2.9,13.0
2003-12-01,2003,Farm-level cattle,22.6,23.4,24.4
2003-12-01,2003,Farm-level cattle,-4.2,17.1,43.4
2003-12-01,2003,Farm-level eggs,33.7,36.7,40.4
2003-12-01,2003,Farm-level eggs,-18.9,2.1,28.7
2003-12-01,2003,Farm-level fruits,-10.1,-8.8,-7.2
2003-12-01,2003,Farm-level fruits,-14.7,11.3,44.9
2003-12-01,2003,Farm-level milk,2.8,3.4,4.1
2003-12-01,2003,Farm-level milk,-9.6,3.5,18.5
2003-12-01,2003,Farm-level soybeans,22.4,23.8,25.2
2003-12-01,2003,Farm-level soybeans,-5.8,21.4,56.1
2003-12-01,2003,Farm-level vegetables,-4.3,-2.2,0.4
2003-12-01,2003,Farm-level vegetables,-19.0,-2.2,18.6
2003-12-01,2003,Farm-level wheat,-0.7,0.4,1.5
2003-12-01,2003,Farm-level wheat,-18.1,7.7,41.8
2003-12-01,2003,Wholesale beef,20.1,20.8,21.5
2003-12-01,2003,Wholesale beef,0.7,14.9,31.5
2003-12-01,2003,Wholesale dairy,2.1,2.4,2.7
2003-12-01,2003,Wholesale dairy,-8.6,2.7,15.6
2003-12-01,2003,Wholesale fats and oils,30.2,30.9,31.7
2003-12-01,2003,Wholesale fats and oils,-4.1,10.9,29.0
2003-12-01,2003,Wholesale pork,5.4,6.2,6.9
2003-12-01,2003,Wholesale pork,-14.3,-2.2,11.8
2003-12-01,2003,Wholesale poultry,4.2,4.5,4.9
2003-12-01,2003,Wholesale poultry,-5.9,0.2,6.6
2003-12-01,2003,Wholesale wheat flour,5.7,6.3,6.9
2003-12-01,2003,Wholesale wheat flour,-12.5,0.6,15.4
2004-01-01,2004,Farm-level cattle,-5.6,14.0,38.2
2004-01-01,2004,Farm-level eggs,-17.1,3.9,30.8
2004-01-01,2004,Farm-level fruits,-4.3,15.2,39.7
2004-01-01,2004,Farm-level milk,-14.1,3.4,24.5
2004-01-01,2004,Farm-level soybeans,-1.9,23.5,56.6
2004-01-01,2004,Farm-level vegetables,-15.8,0.9,21.8
2004-01-01,2004,Farm-level wheat,-11.8,12.6,44.0
2004-01-01,2004,Wholesale beef,-4.0,8.5,23.0
2004-01-01,2004,Wholesale dairy,-7.5,2.6,14.2
2004-01-01,2004,Wholesale fats and oils,-1.4,12.9,29.6
2004-01-01,2004,Wholesale pork,-14.4,-3.5,9.2
2004-01-01,2004,Wholesale poultry,-3.5,5.3,15.3
2004-01-01,2004,Wholesale wheat flour,-10.7,1.5,15.4
2004-02-01,2004,Farm-level cattle,-13.3,-1.6,12.2
2004-02-01,2004,Farm-level eggs,-15.2,3.5,27.4
2004-02-01,2004,Farm-level fruits,-1.1,17.1,39.7
2004-02-01,2004,Farm-level milk,-10.3,5.5,24.9
2004-02-01,2004,Farm-level soybeans,7.3,30.4,61.6
2004-02-01,2004,Farm-level vegetables,-17.4,-2.2,16.5
2004-02-01,2004,Farm-level wheat,-9.4,12.3,39.7
2004-02-01,2004,Wholesale beef,-13.1,-3.0,8.7
2004-02-01,2004,Wholesale dairy,-7.5,1.1,11.0
2004-02-01,2004,Wholesale fats and oils,7.1,20.6,36.4
2004-02-01,2004,Wholesale pork,-13.6,-3.6,8.3
2004-02-01,2004,Wholesale poultry,-2.6,5.2,14.0
2004-02-01,2004,Wholesale wheat flour,-8.2,2.4,14.6
2004-03-01,2004,Farm-level cattle,-12.8,-2.8,9.2
2004-03-01,2004,Farm-level eggs,-9.1,8.9,31.8
2004-03-01,2004,Farm-level fruits,-0.5,15.6,35.3
2004-03-01,2004,Farm-level milk,-3.5,8.4,22.5
2004-03-01,2004,Farm-level soybeans,11.4,32.3,59.5
2004-03-01,2004,Farm-level vegetables,-19.9,-7.8,6.8
2004-03-01,2004,Farm-level wheat,-7.9,10.2,33.7
2004-03-01,2004,Wholesale beef,-14.2,-5.6,4.5
2004-03-01,2004,Wholesale dairy,-4.8,3.1,11.6
2004-03-01,2004,Wholesale fats and oils,7.1,18.7,31.6
2004-03-01,2004,Wholesale pork,-9.3,0.2,10.9
2004-03-01,2004,Wholesale poultry,7.1,14.9,23.7
2004-03-01,2004,Wholesale wheat flour,-5.6,3.7,14.4
2004-04-01,2004,Farm-level cattle,-4.5,5.0,16.0
2004-04-01,2004,Farm-level eggs,3.1,22.1,47.1
2004-04-01,2004,Farm-level fruits,0.7,15.1,32.4
2004-04-01,2004,Farm-level milk,12.1,27.8,46.4
2004-04-01,2004,Farm-level soybeans,26.1,46.4,72.9
2004-04-01,2004,Farm-level vegetables,-18.0,-6.5,7.4
2004-04-01,2004,Farm-level wheat,-7.6,7.8,27.4
2004-04-01,2004,Wholesale beef,-10.0,-2.2,6.7
2004-04-01,2004,Wholesale dairy,1.3,8.3,16.3
2004-04-01,2004,Wholesale fats and oils,10.4,20.3,31.8
2004-04-01,2004,Wholesale pork,-6.1,5.2,18.9
2004-04-01,2004,Wholesale poultry,6.6,13.4,20.9
2004-04-01,2004,Wholesale wheat flour,-5.2,2.8,11.8
2004-05-01,2004,Farm-level cattle,-6.5,1.2,10.3
2004-05-01,2004,Farm-level eggs,-2.7,11.5,29.4
2004-05-01,2004,Farm-level fruits,-0.4,12.0,26.9
2004-05-01,2004,Farm-level milk,26.8,45.9,70.3
2004-05-01,2004,Farm-level soybeans,31.1,48.7,71.2
2004-05-01,2004,Farm-level vegetables,-17.6,-7.2,5.6
2004-05-01,2004,Farm-level wheat,-2.0,11.9,29.2
2004-05-01,2004,Wholesale beef,-4.4,2.8,11.1
2004-05-01,2004,Wholesale dairy,11.1,18.5,26.7
2004-05-01,2004,Wholesale fats and oils,14.0,22.7,32.6
2004-05-01,2004,Wholesale pork,-2.5,7.4,19.6
2004-05-01,2004,Wholesale poultry,8.4,13.9,20.1
2004-05-01,2004,Wholesale wheat flour,-4.0,2.8,10.6
2004-06-01,2004,Farm-level cattle,-5.2,1.5,9.3
2004-06-01,2004,Farm-level eggs,-10.0,0.2,13.4
2004-06-01,2004,Farm-level fruits,6.3,17.6,31.1
2004-06-01,2004,Farm-level milk,23.7,37.7,55.0
2004-06-01,2004,Farm-level soybeans,40.4,56.4,76.5
2004-06-01,2004,Farm-level vegetables,-17.1,-7.6,4.2
2004-06-01,2004,Farm-level wheat,0.4,11.9,25.9
2004-06-01,2004,Wholesale beef,0.6,7.0,14.3
2004-06-01,2004,Wholesale dairy,14.0,20.3,27.2
2004-06-01,2004,Wholesale fats and oils,15.9,23.3,31.5
2004-06-01,2004,Wholesale pork,3.7,12.7,23.4
2004-06-01,2004,Wholesale poultry,12.3,17.0,22.3
2004-06-01,2004,Wholesale wheat flour,-1.0,4.8,11.5
2004-07-01,2004,Farm-level cattle,-2.3,3.4,10.1
2004-07-01,2004,Farm-level cattle,-15.7,1.0,20.9
2004-07-01,2004,Farm-level eggs,-9.3,-0.6,10.3
2004-07-01,2004,Farm-level eggs,-37.8,-18.4,6.2
2004-07-01,2004,Farm-level fruits,7.8,17.2,28.5
2004-07-01,2004,Farm-level fruits,-22.0,-2.2,23.1
2004-07-01,2004,Farm-level milk,18.1,28.0,39.8
2004-07-01,2004,Farm-level milk,-30.2,-0.7,42.4
2004-07-01,2004,Farm-level soybeans,31.9,43.6,57.6
2004-07-01,2004,Farm-level soybeans,-35.4,-8.3,32.8
2004-07-01,2004,Farm-level vegetables,-20.2,-11.9,-1.5
2004-07-01,2004,Farm-level vegetables,-11.5,4.1,22.7
2004-07-01,2004,Farm-level wheat,0.6,9.3,20.1
2004-07-01,2004,Farm-level wheat,-32.7,-2.7,39.9
2004-07-01,2004,Wholesale beef,2.4,7.6,13.5
2004-07-01,2004,Wholesale beef,-13.4,5.7,28.9
2004-07-01,2004,Wholesale dairy,11.0,15.5,20.6
2004-07-01,2004,Wholesale dairy,-14.7,2.6,23.5
2004-07-01,2004,Wholesale fats and oils,15.2,21.1,27.4
2004-07-01,2004,Wholesale fats and oils,-18.5,0.1,23.2
2004-07-01,2004,Wholesale pork,7.4,14.9,23.7
2004-07-01,2004,Wholesale pork,-22.1,2.3,34.6
2004-07-01,2004,Wholesale poultry,12.1,15.9,20.0
2004-07-01,2004,Wholesale poultry,-13.0,0.7,16.1
2004-07-01,2004,Wholesale wheat flour,-0.5,4.2,9.5
2004-07-01,2004,Wholesale wheat flour,-15.6,2.1,23.6
2004-08-01,2004,Farm-level cattle,-2.7,1.8,7.0
2004-08-01,2004,Farm-level cattle,-15.3,1.0,19.6
2004-08-01,2004,Farm-level eggs,-9.9,-3.2,5.3
2004-08-01,2004,Farm-level eggs,-36.3,-16.9,7.7
2004-08-01,2004,Farm-level fruits,8.4,15.9,24.7
2004-08-01,2004,Farm-level fruits,-19.9,0.1,25.1
2004-08-01,2004,Farm-level milk,16.6,23.9,32.8
2004-08-01,2004,Farm-level milk,-34.3,-7.9,29.9
2004-08-01,2004,Farm-level soybeans,34.3,43.3,54.0
2004-08-01,2004,Farm-level soybeans,-27.5,2.3,44.0
2004-08-01,2004,Farm-level vegetables,-21.0,-13.7,-4.8
2004-08-01,2004,Farm-level vegetables,-9.3,6.5,24.9
2004-08-01,2004,Farm-level wheat,1.2,8.0,16.2
2004-08-01,2004,Farm-level wheat,-29.8,-0.7,40.8
2004-08-01,2004,Wholesale beef,-0.8,2.8,6.8
2004-08-01,2004,Wholesale beef,-16.1,-1.5,15.6
